tipo_proceso;subtipo_proceso;;etapa_procesal;;juzgado
CURADURIA;CURADURIA;;POR PRESENTAR;;(760014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE CALI
EJECUTIVO;GARANTIA REAL;;DEMANDA PRESENTADA 1;;(850013118000) JUZGADO PENAL DEL CIRCUITO PARA ADOLESCENTES CON FUNCION DE CONOCIMIENTO DE YOPAL
EJECUTIVO;HIPOTECARIO;;DEMANDA PRESENTADA 2;;(761112204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE BUGA
RESTITUCION;INMUEBLE;;INADMITE;;(760013331000) JUZGADO ADMINISTRATIVO DE CALI
LABORAL;LABORAL;;CUMPLE REQUISITOS;;(760013403000) JUZGADO DE EJECUCION CIVIL DEL CIRCUITO DE CALI
EJECUTIVO;MIXTO;;RECHAZADA INCUMPLIMIENTO REQUISITOS;;(500012210000) DESPACHO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE VILLAVICENCIO
RESTITUCION;MUEBLE;;RECHAZADA POR COMPETENCIA;;(440011270000) DIRECCION SECCIONAL DE LA RAMA JUDICIAL CENTRO DE SERVICIOS ADMINISTRATIVOS
PAGO DIRECTO;PAGO DIRECTO;;AUTO ADMITE DEMANDA (PROCESO DE RESTITUCION);;(410012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE NEIVA
REGIMEN DE INSOLVENCIA;PERSONA JURIDICA;;MANDAMIENTO DE PAGO (PROCESO EJECUTIVO);;(410014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE NEIVA
INSOLVENCIA ECONOMICA;PERSONA NATURAL;;PROCESO DE NOTIFICACION;;(440012213000) DESPACHO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE RIOHACHA
REGIMEN DE INSOLVENCIA;PERSONA NATURAL COMERCIANTE;;REQUIERE PREVIO DESISTIMIENTO;;(540012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE CUCUTA
PERSONAL;PERSONAL;;CLIENTE NOTIFICADO;;(500013187000) JUZGADO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DEL CIRCUITO DE VILLAVICENCIO
EJECUTIVO;PRENDARIO;;AUDIENCIA DE TRAMITE;;(500012214000) DESPACHO DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE VILLAVICENCIO
EJECUTIVO;SINGULAR;;AUTO INTERLOCUTORIO;;(540012221000) DESPACHO DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE CUCUTA
VERBAL;VERBAL;;LIQUIDACION DE COSTAS;;(520012213000) DESPACHO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE PASTO
;;;LIQUIDACION DEL CREDITO;;(520012331000) DESPACHO DEL TRIBUNAL ADMINISTRATIVO DE PASTO
;;;SOLICITUD TERMINACION Y/O SUSPENSION;;(540012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE CUCUTA
;;;SUSPENDIDO;;(410012214000) DESPACHO DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE NEIVA
;;;TERMINADO POR PAGO TOTAL;;(500012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE VILLAVICENCIO
;;;TERMINADO POR RENUNCIA PODER;;(470012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE SANTA MARTA
;;;TERMINADO POR PERENCION;;(520012205000) DESPACHO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE PASTO
;;;TERMINADO POR PAGO MORA;;(540012205000) DESPACHO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE CUCUTA
;;;TERMINADO POR PRESCRIPCION;;(500063187000) JUZGADO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DEL CIRCUITO DE ACACIAS
;;;TERMINADO POR DESISTIMIENTO TACITO;;(520012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE PASTO
;;;INTERPONE RECURSO;;(470012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE SANTA MARTA
;;;TRASLADO RECURSO;;(520011231000) DIRECCION SECCIONAL DE LA RAMA JUDICIAL SIN SECCION
;;;RETIRADA POR PAGO TOTAL;;(520011215000) DIRECCION SECCIONAL DE LA RAMA JUDICIAL SECRETARIA GENERAL DE PASTO
;;;RETIRADA POR PAGO DE LA MORA;;(520012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE PASTO
;;;RETIRADA PARA VOLVER A PRESENTAR;;(110011101000) CONSEJO SECCIONAL DE LA JUDICATURA SALA ADMINISTRATIVA SECRETARIA
;;;RETIRADA PARA DEVOLVER DOCUMENTOS;;(050022213000) DESPACHO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ABEJORRAL
;;;ABOGADO RENUNCIA PODER;;(080014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE BARRANQUILLA
